text,datetime,hashtags,reactions,comments
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
"This week, our CEO stepped down and we replaced him with AI

Except, it was an April Fool’s prank.

You’ve probably seen the videoposted where he announces he’s stepping down and being replaced by our AI CEO, Jaspar 2.0

(If not, definitely check it out here:)

While many people thought the whole thing was AI generated, it was in fact 100% human made

We hired an entire film crew, rented a mansion and casted our AI CEO,(who is a really human, even if he does look totally AI-generated)

We were up against a lot of constraints:

Timeline = under 3 weeks
Budget = less than $20k
Experience = none, apart from one film class I took in 11th grade

(For reference, when we enquired creative agencies, one said it would be $100k+ and they needed at least 3 months to execute it)

We had zero film experience and an impossibly tight turnaround time...

But we ended up delivering a pretty amazing (if I do say so myself) campaign that drove 100,000+ impressions for Artisan

Jaspar even got a few real job offers!

If you're curious how we pulled it off, I wrote a blog breaking down everything here:

Proof that anything’s possible when you decide it is.

Shooter’s shoot 🫡 This week, our CEO stepped down and we replaced him with AI

Except, it was an April Fool’s prank.

You’ve probably seen the videoposted where he announces he’s stepping down and being replaced by our AI CEO, Jaspar 2.0

(If not, definitely check it out here:)

While many people thought the whole thing was AI generated, it was in fact 100% human made

We hired an entire film crew, rented a mansion and casted our AI CEO,(who is a really human, even if he does look totally AI-generated)

We were up against a lot of constraints:

Timeline = under 3 weeks
Budget = less than $20k
Experience = none, apart from one film class I took in 11th grade

(For reference, when we enquired creative agencies, one said it would be $100k+ and they needed at least 3 months to execute it)

We had zero film experience and an impossibly tight turnaround time...

But we ended up delivering a pretty amazing (if I do say so myself) campaign that drove 100,000+ impressions for Artisan

Jaspar even got a few real job offers!

If you're curious how we pulled it off, I wrote a blog breaking down everything here:

Proof that anything’s possible when you decide it is.

Shooter’s shoot 🫡",2 weeks ago • Visible to anyone on or off LinkedIn,,328 reactions,34
"After 2 years of building Artisan, I’m stepping down as CEO

I'm so proud of what we’ve built and the incredible team we’ve created. This was a really difficult decision, but one that is ultimately is best for Artisan

The new CEO is the most capable person I know, and I have no doubt he’ll successfully lead Artisan on our goal of becoming a multi-billion dollar company

I’m proud to introduce him in the video below

Grateful for everything we’ve built — and excited to see where the team goes from here. Onward 🚀 After 2 years of building Artisan, I’m stepping down as CEO

I'm so proud of what we’ve built and the incredible team we’ve created. This was a really difficult decision, but one that is ultimately is best for Artisan

The new CEO is the most capable person I know, and I have no doubt he’ll successfully lead Artisan on our goal of becoming a multi-billion dollar company

I’m proud to introduce him in the video below

Grateful for everything we’ve built — and excited to see where the team goes from here. Onward 🚀",2 weeks ago • Visible to anyone on or off LinkedIn,,"1,504 reactions",172
